,Course_Name,Course_Description,Prerequisites
94,CHEM 213B. Biophysical Chemistry of Macromolecules (4),"Renumbered from CHEM 213. A discussion of the physical principles governing biomolecular structure and function. Experimental and theoretical approaches to understand protein dynamics, enzyme kinetics, and mechanisms will be covered. Students may not receive credit for CHEM 213 and CHEM 213B. May be coscheduled with CHEM 113.",
95,CHEM 214. Molecular and Cellular Biochemistry (4),"This is an introductory course for graduate students and covers topics in molecular and cellular biochemistry. Emphasis will be placed on contemporary approaches to the isolation and characterization of mammalian genes and proteins, and molecular genetic approaches to understanding eukaryotic development and human disease. May be coscheduled with CHEM 114D. ", graduate standing.
96,"CHEM 215. Genome, Epigenome, and Transcriptome Editing (4)","A discussion of current topics involving nucleic acid modification, including systems derived from zinc fingers, TALEs, and CRISPR-Cas9. Topics of particular emphasis include delivery of genome editing agents, gene drives, and high-throughput genetic screens. May be coscheduled with CHEM 115. ", graduate standing or consent of instructor.
97,CHEM 216. Chemical Biology (4),"A discussion of current topics in chemical biology including mechanistic aspects of enzymes and cofactors, use of modified enzymes to alter biochemical pathways, chemical intervention in cellular processes, and natural product discovery. ", graduate standing or consent of instructor. (May not be offered every year.)
98,"CHEM 217. RNA Structure, Function, and Biology (4)","Selected topics in RNA structure and function, such as the ribosome, ribozyme, antibiotics, splicing and RNA interference, as they relate to the RNA role in gene expression and regulation. Emphasis on techniques to study the dynamics of macromolecular complexes and the mechanism of RNA catalysis. ", graduate standing or consent of instructor.
99,CHEM 219A. Special Topics in Biochemistry (4),"This special-topics course is designed for first-year graduate students in biochemistry. Topics presented in recent years have included protein processing, the chemical modification of proteins, the biosynthesis and function of glycoproteins, lipid biochemistry and membrane structure, and bioenergetics. "," undergraduate courses in biochemistry, CHEM 114A or equivalent. (May not be offered every year.)"
100,CHEM 219B. Special Topics in Biochemistry (4),Various advanced topics in biochemistry. May be taken for credit up to three times as topics vary.,
101,CHEM 219C. Special Topics in Biochemistry (2 or 4),Various advanced topics in biochemistry. May be taken for credit up to three times as topics vary.,
102,CHEM 220. Regulatory Circuits in Cells (4),"Modulation cellular activity and influencing viral fate involve regulatory circuits. Emergent properties include dose response, cross regulation, dynamic, and stochastic behaviors. This course reviews underlying mechanisms and involves mathematical modeling using personal computer tools. Recommended: some background in biochemistry and/or cellular biology. Mathematical competence at the level of lower-division college courses.",
103,CHEM 221. Signal Transduction (4),The aim of this course is to develop an appreciation for a variety of topics in signal transduction. We will discuss several historical developments while the focus will be on current issues. Both experimental approaches and results will be included in our discussions. Topics may vary from year to year. , biochemistry and molecular biology. (May not be offered every year.)
104,CHEM 222. Structure and Analysis of Solids (4),"(Cross-listed with MATS 227, NANO 227, and MAE 251.) Key concepts in the atomic structure and bonding of solids such as metals, ceramics, and semiconductors. Symmetry operations, point groups, lattice types, space groups, simple and complex inorganic compounds, structure/property comparisons, structure determination with X-ray diffraction. Ionic, covalent, metallic bonding compared with physical properties. Atomic and molecular orbitals, bands verses bonds, free electron theory. Students may only receive credit for one of the following: CHEM 222, MAE 251, MATS 227, or NANO 227.",
105,CHEM 223. Organometallic Chemistry (4),A survey of this field from a synthetic and mechanistic viewpoint. Fundamental reactivity patterns for transition element organometallic compounds will be discussed and organized according to periodic trends. Transition metal catalyzed reactions of importance to organic synthesis and industrial chemistry will be presented from a mechanistic perspective. Letter grades only. , graduate standing.
106,CHEM 224. Spectroscopic Techniques (4),"Application of physical techniques to the elucidation of the structure of inorganic complex ions and organometallic compounds. Topics covered include group theory, and its application to vibrational, magnetic resonance and Raman spectroscopy. (May not be offered every year.)",
107,CHEM 225. Bioinorganic Chemistry (4),"The role of metal ions in biological systems, with emphasis on transition metal ions in enzymes that transfer electrons, bind oxygen, and fix nitrogen. Also included are metal complexes in medicine, toxicity, and metal ion storage and transport. May be coscheduled with CHEM 125. ", graduate standing.
108,CHEM 226. Transition Metal Chemistry (4),"Advanced aspects of structure and bonding in transition metal complexes with major emphasis on Molecular Orbital Theory. Electronic structure descriptions are used to rationalize structure/reactivity relationships. Other topics include computational chemistry, relativistic effects, metal-metal bonding, and reaction mechanisms. ", graduate standing or consent of instructor.
109,CHEM 227. Seminar in Inorganic Chemistry (2),"Seminars presented by faculty and students on topics of current interest in inorganic chemistry, including areas such as bioinorganic, organometallic and physical-inorganic chemistry. The course is designed to promote a critical evaluation of the available data in specialized areas of inorganic chemistry. Each quarter three or four different topics will be discussed. (S/U grades only.) ", graduate standing or consent of instructor.
110,CHEM 228. Solid State Chemistry (4),"Survey of the chemistry of semiconductors, superconductors, molecular magnetic materials, zeolites, fast ion conductors, electronically conducting polymers and ceramics. Synthetic techniques such as molecular precursor design, the sol-gel process, electrosynthesis, and high-temperature thermolysis will be covered. (May not be offered every year.)",
111,CHEM 229. Special Topics in Inorganic Chemistry (2–4),Selection of topics of current interest. May be repeated for credit when topics vary. (May not be offered every year.),
112,CHEM 230A. Quantum Mechanics I (4),"Theoretical basis of quantum mechanics; postulates; wave packets; matrix representations; ladder operators; exact solutions for bound states in 1, 2, or 3 dimensions; angular momentum; spin; variational approximations; description of real one and two electron systems. Recommended background: CHEM 133 and MATH 20D or their equivalents.",
113,CHEM 230B. Quantum Mechanics II (4),"Continuation of theoretical quantum mechanics: evolution operators and time dependent representations, second quantization, Born-Oppenheimer approximation, electronic structure methods, selected topics from among density operators, quantized radiation fields, path integral methods, scattering theory. ", CHEM 230A or consent of instructor.
114,CHEM 231. Chemical Kinetics and Molecular Reaction Dynamics (4),"Classical kinetics, transition state theory, unimolecular decomposition, potential energy surfaces; scattering processes and photodissociation processes. (May not be offered ever year.)",
115,CHEM 232A. Statistical Mechanics I (4),"Derivation of thermodynamics from atomic descriptions. Ensembles, fluctuations, classical (Boltzmann) and quantum (Fermi-Dirac and Bose-Einstein) statistics, partition functions, phase space, Liouville equation, chemical equilibrium, applications to weakly interacting systems, such as ideal gases, ideal crystals, radiation fields. Recommended background: CHEM 132 or its equivalent. Classical and quantum mechanics, thermodynamics, and mathematical methods will be reviewed as needed, but some background will be necessary.",
116,CHEM 232B. Statistical Mechanics II (4),"Interacting systems at equilibrium, both classical (liquids) and quantum (spins). Phase transitions. Nonequilibrium systems: glasses, transport, time correlation functions, Onsager relations, fluctuation-dissipation theorem, random walks, Brownian motion. Applications in biophysics. ", CHEM 232A or consent of instructor.
